집계일자,입출구구분코드,TCS하이패스구분코드,고속도로운영기관구분코드,영업형태구분코드,1종교통량,2종교통량,3종교통량,4종교통량,5종교통량,6종교통량,총교통량
2024-01-27,1,2,48,0,53068,1115,754,728,2341,2593,60599
2024-01-27,1,2,1,0,126356,1219,5828,2367,4258,2842,142870
2024-01-27,1,2,49,0,77826,1589,1178,1641,1411,3486,87131
2024-01-27,1,2,46,0,5335,104,257,190,619,189,6694
2024-01-27,1,2,11,0,105382,1479,1814,1321,1757,4800,116553
2024-01-27,1,2,2,0,113992,1862,2005,2137,3732,3824,127552
2024-01-14,0,1,0,0,178817,1739,4741,4810,1274,1392,192773
2024-01-14,0,1,0,1,32578,363,620,455,144,4278,38438
2024-01-14,0,1,8,0,8275,46,100,159,160,49,8789
2024-01-14,0,1,8,1,9168,0,43,4,3,40,9258
2024-01-14,0,1,26,1,5140,20,44,17,12,492,5725
2024-01-14,0,1,44,0,3450,60,72,79,39,497,4197
2024-01-14,0,1,44,1,169,3,1,5,0,18,196
2024-01-14,0,1,42,1,8218,60,175,49,58,481,9041
2024-01-14,0,1,43,1,659,5,4,10,8,8,694
2024-01-14,0,1,10,0,5196,51,105,119,17,18,5506
2024-01-14,0,1,10,1,266,1,3,6,0,33,309
2024-01-14,0,1,18,0,4404,43,179,176,52,19,4873
2024-01-14,0,1,45,0,530,14,22,76,17,46,705
2024-01-14,0,1,34,0,2040,22,35,43,6,23,2169
2024-01-14,0,1,28,0,3526,23,28,29,9,297,3912
2024-01-14,0,1,37,0,1091,6,41,128,32,20,1318
2024-01-14,0,1,48,0,555,28,28,23,7,112,753
2024-01-14,0,1,1,0,2690,46,83,88,29,8,2944
2024-01-14,0,1,49,0,877,12,54,51,0,3,997
2024-01-14,0,1,46,0,198,3,12,7,2,26,248
2024-01-14,0,1,11,0,7200,64,112,115,24,240,7755
2024-01-14,0,1,2,0,6431,66,108,167,39,43,6854
2024-01-14,0,2,0,0,1999250,19030,45313,19763,21137,75065,2179558
2024-01-14,0,2,0,1,435327,3879,6524,2925,2999,20319,471973
2024-01-14,0,2,27,1,29700,97,88,49,44,1647,31625
2024-01-14,0,2,8,0,76841,326,810,285,1418,3068,82748
2024-01-14,0,2,8,1,5057,5,9,0,8,202,5281
2024-01-14,0,2,26,1,14790,37,96,1,2,1231,16157
2024-01-14,0,2,44,0,66177,854,1172,486,368,3864,72921
2024-01-14,0,2,44,1,2443,8,87,1,2,118,2659
2024-01-14,0,2,43,1,9339,43,9,20,132,399,9942
2024-01-14,0,2,24,1,2443,10,86,0,0,32,2571
2024-01-14,0,2,10,0,82948,418,1525,502,248,3049,88690
2024-01-14,0,2,10,1,3834,15,11,21,11,196,4088
