집계일자,입출구구분코드,TCS하이패스구분코드,고속도로운영기관구분코드,영업형태구분코드,1종교통량,2종교통량,3종교통량,4종교통량,5종교통량,6종교통량,총교통량,
20210401,0,1,00,0,285901,14226,37631,34305,11625,4432,388120,
20210401,0,1,00,1,64130,2741,5095,4747,2197,8598,87508,
20210401,0,1,10,0,8856,282,537,420,82,219,10396,
20210401,0,1,10,1,639,38,52,41,10,105,885,
20210401,0,1,44,0,6199,462,806,554,208,1086,9315,
20210401,0,1,44,1,561,18,21,3,1,104,708,
20210401,0,1,42,1,19143,768,881,471,983,1344,23590,
20210401,0,1,08,0,11252,439,991,1131,905,151,14869,
20210401,0,1,08,1,3018,49,42,128,62,59,3358,
20210401,0,1,26,1,4409,102,175,240,137,835,5898,
20210401,0,1,43,1,1360,31,26,37,21,31,1506,
20210401,0,1,01,0,4044,199,691,799,274,27,6034,
20210401,0,1,45,0,702,48,213,307,62,49,1381,
20210401,0,1,34,0,3058,109,268,376,78,41,3930,
20210401,0,1,11,0,12634,614,1480,973,270,588,16559,
20210401,0,1,02,0,8596,425,793,818,211,140,10983,
20210401,0,1,18,0,6522,741,2449,1958,763,151,12584,
20210401,0,1,28,0,6601,272,293,226,89,647,8128,
20210401,0,1,37,0,1800,152,580,998,387,54,3971,
20210401,0,1,46,0,350,14,80,67,15,52,578,
20210401,0,2,00,0,1975859,84381,82286,73426,146054,92406,2454412,
20210401,0,2,00,1,542680,17950,12433,10586,18210,31474,633333,
20210401,0,2,10,0,82203,2130,1941,1208,1745,4163,93390,
20210401,0,2,10,1,7265,168,77,101,272,436,8319,
20210401,0,2,44,0,64037,2570,1306,1646,4317,4907,78783,
20210401,0,2,44,1,4287,46,142,18,15,296,4804,
20210401,0,2,27,1,30048,374,246,263,347,2206,33484,
20210401,0,2,08,0,65383,1366,1536,1482,7797,3554,81118,
20210401,0,2,08,1,2359,7,7,1,15,111,2500,
20210401,0,2,26,1,16274,127,101,3,17,1766,18288,
20210401,0,2,43,1,13507,159,63,54,140,732,14655,
20210401,0,2,24,1,2299,81,145,0,0,45,2570,
20210401,0,2,01,0,101146,3471,6673,6988,11496,2321,132095,
20210401,0,2,45,0,25550,1053,2691,3995,5648,816,39753,
20210401,0,2,34,0,51370,1544,1933,783,1940,2145,59715,
20210401,0,2,11,0,105342,3889,3296,2432,3905,6043,124907,
20210401,0,2,02,0,84384,3513,2504,2999,6707,3116,103223,
20210401,0,2,18,0,64063,5979,6589,5510,12124,3171,97436,
20210401,0,2,28,0,63204,1787,841,797,840,4470,71939,
20210401,0,2,37,0,10963,661,393,1453,4583,903,18956,
20210401,0,2,46,0,5510,326,345,449,1053,200,7883,
20210401,1,1,00,0,292925,14507,38412,35084,11774,31953,424655,
20210401,1,1,00,1,66077,2755,5201,5434,2440,8825,90732,
20210401,1,1,10,0,8883,269,553,385,108,1004,11202,
20210401,1,1,10,1,751,19,44,48,11,129,1002,
20210401,1,1,44,0,7352,474,804,597,255,1173,10655,
20210401,1,1,44,1,788,32,15,4,1,115,955,
20210401,1,1,42,1,17607,754,768,447,1026,1195,21797,
20210401,1,1,08,0,9944,380,964,1311,680,1314,14593,
20210401,1,1,08,1,3423,39,33,216,65,47,3823,
20210401,1,1,26,1,4327,124,153,237,152,808,5801,
20210401,1,1,43,1,7271,257,373,390,142,992,9425,
20210401,1,1,24,1,2510,82,188,0,0,46,2826,
20210401,1,1,01,0,3817,191,713,777,244,316,6058,
20210401,1,1,45,0,869,54,224,254,73,56,1530,
20210401,1,1,34,0,3025,104,269,243,75,310,4026,
20210401,1,1,11,0,13672,651,1532,1012,394,1747,19008,
20210401,1,1,02,0,8681,376,818,852,171,976,11874,
20210401,1,1,18,0,6233,690,2314,1848,683,672,12440,
20210401,1,1,28,0,6943,257,352,280,125,1015,8972,
20210401,1,1,37,0,1708,146,596,759,433,309,3951,
20210401,1,1,46,0,407,15,84,71,17,53,647,
20210401,1,2,00,0,2059183,90349,89801,77205,157915,97940,2572393,
20210401,1,2,00,1,565044,18007,13115,11150,18411,32491,658218,
20210401,1,2,10,0,80250,2039,1949,1148,1662,4128,91176,
20210401,1,2,10,1,7058,164,79,112,234,469,8116,
20210401,1,2,44,0,63389,2570,1322,1581,4256,4852,77970,
20210401,1,2,44,1,6280,75,175,32,27,399,6988,
20210401,1,2,27,1,31755,359,228,267,346,2264,35219,
20210401,1,2,08,0,63864,1367,1468,1338,6664,3503,78204,
20210401,1,2,08,1,2482,27,9,5,14,122,2659,
20210401,1,2,26,1,16130,126,111,6,13,1728,18114,
20210401,1,2,43,1,69987,1750,644,722,1478,3877,78458,
20210401,1,2,01,0,100394,3408,6678,6802,11320,2336,130938,
20210401,1,2,45,0,25419,1033,2703,3940,5705,821,39621,
20210401,1,2,34,0,51039,1539,1916,779,2081,2132,59486,
20210401,1,2,11,0,105476,3811,3210,2370,3771,6031,124669,
20210401,1,2,02,0,84971,3552,2545,3069,6906,3211,104254,
20210401,1,2,18,0,63693,5839,6464,5367,12203,3185,96751,
20210401,1,2,28,0,62497,1884,876,815,801,4417,71290,
