집계일자,입출구구분코드,TCS하이패스구분코드,고속도로운영기관구분코드,영업형태구분코드,1종교통량,2종교통량,3종교통량,4종교통량,5종교통량,6종교통량,총교통량,
20211001,0,1,00,0,312732,14217,36126,32904,11083,4389,411451,
20211001,0,1,00,1,60441,2691,4826,4358,2301,7908,82525,
20211001,0,1,10,0,9933,236,448,366,72,200,11255,
20211001,0,1,10,1,604,25,32,41,22,96,820,
20211001,0,1,44,0,8378,553,1013,709,272,1294,12219,
20211001,0,1,44,1,536,17,19,1,1,79,653,
20211001,0,1,42,1,16968,706,554,395,677,1111,20411,
20211001,0,1,08,0,11841,380,991,1126,985,170,15493,
20211001,0,1,08,1,3520,35,28,171,31,42,3827,
20211001,0,1,26,1,4648,91,284,395,151,812,6381,
20211001,0,1,43,1,1412,38,43,45,31,27,1596,
20211001,0,1,01,0,4074,174,716,823,261,30,6078,
20211001,0,1,45,0,863,44,240,252,52,73,1524,
20211001,0,1,48,0,1333,113,405,259,63,203,2376,
20211001,0,1,34,0,3685,121,263,287,47,49,4452,
20211001,0,1,11,0,14082,554,1502,946,281,610,17975,
20211001,0,1,02,0,9262,410,721,739,181,161,11474,
20211001,0,1,18,0,7599,790,2190,1863,833,149,13424,
20211001,0,1,28,0,7568,297,356,301,95,674,9291,
20211001,0,1,37,0,2105,161,597,1074,346,68,4351,
20211001,0,1,46,0,447,13,98,89,22,69,738,
20211001,0,2,00,0,2283962,86675,82981,73892,143504,100187,2771201,
20211001,0,2,00,1,558420,17480,12124,10762,17492,30875,647153,
20211001,0,2,10,0,109698,2091,1999,1289,1974,4903,121954,
20211001,0,2,10,1,7774,187,93,169,310,532,9065,
20211001,0,2,44,0,93113,3211,1801,2400,6477,6296,113298,
20211001,0,2,44,1,4521,41,131,20,6,277,4996,
20211001,0,2,27,1,33393,376,239,217,625,2332,37182,
20211001,0,2,08,0,76705,1404,1572,1653,8400,3907,93641,
20211001,0,2,08,1,2547,13,5,3,8,151,2727,
20211001,0,2,26,1,18968,143,111,3,22,1863,21110,
20211001,0,2,43,1,15808,151,62,40,182,842,17085,
20211001,0,2,24,1,3173,62,138,0,0,89,3462,
20211001,0,2,01,0,131965,3558,6735,6891,12007,3007,164163,
20211001,0,2,45,0,37843,1075,2484,3741,5289,1190,51622,
20211001,0,2,48,0,55411,2503,1468,1410,3575,2827,67194,
20211001,0,2,34,0,72377,1758,1942,1129,1931,2571,81708,
20211001,0,2,11,0,121982,3997,3116,2727,4201,6577,142600,
20211001,0,2,02,0,98904,3615,2590,3319,7239,3830,119497,
20211001,0,2,18,0,80067,5547,6192,5220,11913,3642,112581,
20211001,0,2,28,0,74494,1840,983,863,895,4883,83958,
20211001,0,2,37,0,13536,693,496,1439,4658,1105,21927,
20211001,0,2,46,0,7465,372,397,513,1105,269,10121,
20211001,1,1,00,0,321533,14238,37570,34983,11912,34646,454882,
20211001,1,1,00,1,60639,2641,4849,4772,2181,8022,83104,
20211001,1,1,10,0,8910,231,448,384,77,1046,11096,
20211001,1,1,10,1,685,15,30,57,18,127,932,
20211001,1,1,44,0,9712,584,1016,766,244,1371,13693,
20211001,1,1,44,1,735,22,17,19,0,93,886,
20211001,1,1,42,1,15764,543,642,376,844,991,19160,
20211001,1,1,08,0,10505,344,888,1388,716,1398,15239,
20211001,1,1,08,1,4995,42,29,281,79,69,5495,
20211001,1,1,26,1,4394,113,236,345,157,798,6043,
20211001,1,1,43,1,7469,217,413,458,143,1007,9707,
20211001,1,1,24,1,2985,72,174,0,0,84,3315,
20211001,1,1,01,0,3886,163,672,776,235,345,6077,
20211001,1,1,45,0,1054,50,216,257,82,80,1739,
20211001,1,1,48,0,1905,116,437,278,74,245,3055,
20211001,1,1,34,0,3252,118,260,209,35,313,4187,
20211001,1,1,11,0,14474,642,1518,1027,384,1800,19845,
20211001,1,1,02,0,9398,375,765,815,221,1091,12665,
20211001,1,1,18,0,6785,679,2171,1744,703,679,12761,
20211001,1,1,28,0,7696,250,395,361,115,1090,9907,
20211001,1,1,37,0,2025,144,574,771,381,336,4231,
20211001,1,1,46,0,428,16,95,64,21,52,676,
20211001,1,2,00,0,2298656,88262,87041,76118,151448,102074,2803599,
20211001,1,2,00,1,578095,17820,12524,11520,18389,32157,670505,
20211001,1,2,10,0,101650,2058,1969,1295,1911,4782,113665,
20211001,1,2,10,1,7401,181,73,173,221,503,8552,
20211001,1,2,44,0,92850,3245,1809,2392,6398,6298,112992,
20211001,1,2,44,1,6406,68,163,37,13,374,7061,
20211001,1,2,27,1,35445,348,241,220,621,2390,39265,
20211001,1,2,08,0,72937,1410,1532,1594,7272,3823,88568,
20211001,1,2,08,1,3123,16,13,4,16,158,3330,
20211001,1,2,26,1,18195,149,111,9,29,1804,20297,
20211001,1,2,43,1,78752,1747,616,736,1635,4265,87751,
20211001,1,2,01,0,127784,3516,6543,6441,11694,2951,158929,
20211001,1,2,45,0,37964,1082,2496,3732,5362,1194,51830,
20211001,1,2,48,0,55836,2469,1500,1412,3683,2769,67669,
20211001,1,2,34,0,68527,1717,1894,1137,1936,2493,77704,
20211001,1,2,11,0,121075,3967,3036,2596,3952,6610,141236,
20211001,1,2,02,0,100432,3638,2570,3368,7552,3869,121429,
20211001,1,2,18,0,77360,5549,6110,5127,11901,3648,109695,
20211001,1,2,28,0,70946,1828,1003,926,924,4822,80449,
20211001,1,2,37,0,12838,664,486,1431,5605,1094,22118,
20211001,1,2,46,0,6752,364,401,499,1119,256,9391,
20211002,0,1,00,0,361172,7423,16647,14062,5222,3856,408382,
20211002,0,1,00,1,65604,1467,2349,1665,883,7829,79797,
20211002,0,1,10,0,12121,117,161,145,41,163,12748,
20211002,0,1,10,1,563,18,14,12,11,89,707,
20211002,0,1,44,0,10110,326,523,291,206,1479,12935,
20211002,0,1,44,1,613,6,10,0,1,80,710,
20211002,0,1,42,1,15775,294,264,167,490,835,17825,
20211002,0,1,08,0,14779,200,407,320,390,139,16235,
20211002,0,1,08,1,7547,30,24,16,63,86,7766,
20211002,0,1,26,1,4512,47,74,43,45,734,5455,
20211002,0,1,43,1,1508,15,31,10,11,16,1591,
20211002,0,1,01,0,5251,73,287,303,111,34,6059,
20211002,0,1,45,0,949,24,78,131,31,97,1310,
20211002,0,1,48,0,1207,36,150,85,39,185,1702,
20211002,0,1,34,0,4769,51,102,85,18,27,5052,
20211002,0,1,11,0,14305,247,623,386,133,538,16232,
20211002,0,1,02,0,12038,213,452,404,99,144,13350,
20211002,0,1,18,0,8480,271,831,634,369,71,10656,
20211002,0,1,28,0,7563,143,169,118,23,559,8575,
20211002,0,1,37,0,2115,62,155,422,109,72,2935,
20211002,0,1,46,0,363,5,15,23,12,41,459,
20211002,0,2,00,0,2436013,43901,51217,33480,72505,85650,2722766,
20211002,0,2,00,1,543798,8809,7650,4844,10617,24655,600373,
20211002,0,2,10,0,127537,1037,1491,689,769,4212,135735,
20211002,0,2,10,1,5858,96,41,30,253,316,6594,
20211002,0,2,44,0,105663,1592,1203,1038,4414,5396,119306,
20211002,0,2,44,1,4544,27,95,3,4,256,4929,
20211002,0,2,27,1,33263,279,129,183,649,1734,36237,
20211002,0,2,08,0,91653,769,818,486,4217,3692,101635,
20211002,0,2,08,1,4642,9,7,2,5,218,4883,
20211002,0,2,26,1,19016,89,79,5,5,1367,20561,
20211002,0,2,43,1,13552,103,39,28,57,541,14320,
20211002,0,2,24,1,7798,53,172,0,0,98,8121,
20211002,0,2,01,0,149136,1608,4771,2813,5632,3229,167189,
20211002,0,2,45,0,46591,509,1364,1441,2745,1471,54121,
20211002,0,2,48,0,59828,930,374,463,2055,2224,65874,
20211002,0,2,34,0,82305,844,1111,425,977,2458,88120,
20211002,0,2,11,0,114861,1719,1467,933,2056,4684,125720,
20211002,0,2,02,0,121076,2100,1774,1643,3834,3758,134185,
20211002,0,2,18,0,87465,1886,2643,1861,5396,3258,102509,
20211002,0,2,28,0,66201,986,518,391,502,3329,71927,
20211002,0,2,37,0,12871,291,195,463,1990,883,16693,
20211002,0,2,46,0,5666,100,233,139,435,182,6755,
20211002,1,1,00,0,375457,7220,17161,16093,5593,37937,459461,
20211002,1,1,00,1,64949,1367,2471,1900,1033,7628,79348,
20211002,1,1,10,0,10418,125,172,166,41,1054,11976,
20211002,1,1,10,1,892,15,13,14,12,116,1062,
20211002,1,1,44,0,11818,341,526,322,202,1560,14769,
20211002,1,1,44,1,886,16,12,4,0,100,1018,
20211002,1,1,42,1,16547,240,299,164,469,819,18538,
20211002,1,1,08,0,12933,167,306,541,338,1657,15942,
20211002,1,1,08,1,9365,33,26,15,80,102,9621,
20211002,1,1,26,1,4333,58,64,31,47,698,5231,
20211002,1,1,43,1,8688,126,275,195,51,1031,10366,
20211002,1,1,24,1,4343,48,170,0,0,82,4643,
20211002,1,1,01,0,4919,78,299,308,127,400,6131,
20211002,1,1,45,0,1329,20,92,123,49,129,1742,
20211002,1,1,48,0,1725,51,141,74,33,225,2249,
20211002,1,1,34,0,3980,58,102,87,30,360,4617,
20211002,1,1,11,0,15116,299,633,478,193,1706,18425,
20211002,1,1,02,0,11804,221,485,484,114,1220,14328,
20211002,1,1,18,0,7570,249,813,683,281,776,10372,
20211002,1,1,28,0,7637,134,200,147,31,955,9104,
20211002,1,1,37,0,2091,57,150,183,153,351,2985,
20211002,1,1,46,0,378,5,26,17,13,36,475,
20211002,1,2,00,0,2485152,45435,53599,36535,79633,88308,2788662,
20211002,1,2,00,1,544367,9085,7816,5582,11038,24562,602450,
20211002,1,2,10,0,116490,1043,1511,644,718,3975,124381,
20211002,1,2,10,1,8159,113,42,43,180,407,8944,
20211002,1,2,44,0,103922,1578,1203,1048,4422,5307,117480,
20211002,1,2,44,1,7143,28,106,11,14,355,7657,
20211002,1,2,27,1,34653,236,126,206,692,1832,37745,
20211002,1,2,08,0,85175,784,824,549,3798,3493,94623,
20211002,1,2,08,1,5694,19,8,3,11,279,6014,
20211002,1,2,26,1,18353,81,92,6,5,1305,19842,
20211002,1,2,43,1,75231,945,415,409,690,3225,80915,
20211002,1,2,01,0,143152,1544,4639,2725,5498,3137,160695,
20211002,1,2,45,0,47464,507,1390,1487,2801,1485,55134,
20211002,1,2,48,0,60176,936,364,462,2017,2229,66184,
20211002,1,2,34,0,79301,800,1084,408,991,2446,85030,
20211002,1,2,11,0,113020,1696,1384,916,2095,4684,123795,
20211002,1,2,02,0,122728,2124,1782,1758,4291,3878,136561,
20211002,1,2,18,0,83052,1877,2637,1983,5689,3219,98457,
20211002,1,2,28,0,63430,1045,572,434,506,3355,69342,
20211002,1,2,37,0,12818,282,197,451,2541,867,17156,
20211002,1,2,46,0,5435,98,232,134,396,184,6479,
20211003,0,1,00,0,351513,3504,6366,5397,1539,3327,371646,
20211003,0,1,00,1,58795,680,901,570,242,6802,67990,
20211003,0,1,10,0,11606,59,160,72,10,148,12055,
20211003,0,1,10,1,467,9,5,2,0,57,540,
20211003,0,1,44,0,9552,129,159,98,30,1226,11194,
20211003,0,1,44,1,358,2,8,0,0,49,417,
20211003,0,1,42,1,14477,96,147,49,65,679,15513,
20211003,0,1,08,0,14389,58,101,149,159,127,14983,
20211003,0,1,08,1,10047,13,8,1,6,54,10129,
20211003,0,1,26,1,3973,17,25,4,5,569,4593,
20211003,0,1,43,1,1084,6,5,4,4,10,1113,
20211003,0,1,01,0,4843,52,90,128,32,25,5170,
20211003,0,1,45,0,1008,17,34,47,12,106,1224,
20211003,0,1,48,0,1001,17,38,18,6,159,1239,
20211003,0,1,34,0,4597,33,91,46,6,28,4801,
20211003,0,1,11,0,12732,136,195,118,68,446,13695,
20211003,0,1,02,0,11587,92,136,91,29,107,12042,
20211003,0,1,18,0,7678,120,328,210,69,73,8478,
20211003,0,1,28,0,6010,54,42,28,5,461,6600,
20211003,0,1,37,0,1944,14,43,188,34,75,2298,
20211003,0,1,46,0,294,2,7,3,3,36,345,
20211003,0,2,00,0,2374917,20238,36990,15892,18826,76129,2542992,
20211003,0,2,00,1,492654,4406,5563,2302,3284,21059,529268,
20211003,0,2,10,0,118897,518,1386,376,250,3879,125306,
20211003,0,2,10,1,4282,29,34,13,5,191,4554,
20211003,0,2,44,0,95044,801,889,343,784,4137,101998,
20211003,0,2,44,1,2899,7,93,1,0,120,3120,
20211003,0,2,27,1,27835,88,64,21,43,1373,29424,
20211003,0,2,08,0,90464,311,578,200,1523,3293,96369,
20211003,0,2,08,1,5538,5,4,1,1,193,5742,
20211003,0,2,26,1,17147,35,75,1,1,1024,18283,
20211003,0,2,43,1,10635,48,15,13,24,405,11140,
20211003,0,2,24,1,5113,23,87,0,0,90,5313,
20211003,0,2,01,0,145046,887,4214,1516,1981,3105,156749,
20211003,0,2,45,0,45293,280,937,667,1058,1365,49600,
20211003,0,2,48,0,52215,361,195,112,329,1792,55004,
20211003,0,2,34,0,75988,517,1028,469,359,2319,80680,
20211003,0,2,11,0,100361,678,864,377,787,3821,106888,
20211003,0,2,02,0,117591,917,1046,811,746,3292,124403,
20211003,0,2,18,0,72203,948,1363,670,1349,2960,79493,
20211003,0,2,28,0,51493,412,242,80,51,2482,54760,
20211003,0,2,37,0,11688,108,116,172,498,688,13270,
20211003,0,2,46,0,5146,38,151,66,108,165,5674,
20211003,1,1,00,0,365817,3252,6781,5538,1481,35424,418293,
20211003,1,1,00,1,58610,593,786,637,231,6646,67503,
20211003,1,1,10,0,12439,71,84,120,10,1081,13805,
20211003,1,1,10,1,780,4,6,3,2,82,877,
20211003,1,1,44,0,11213,146,166,111,34,1302,12972,
20211003,1,1,44,1,501,6,6,1,0,60,574,
20211003,1,1,42,1,13220,112,165,43,68,639,14247,
20211003,1,1,08,0,13440,57,92,185,109,1653,15536,
20211003,1,1,08,1,10280,15,18,2,10,99,10424,
20211003,1,1,26,1,3947,16,20,5,4,563,4555,
20211003,1,1,43,1,6855,68,70,67,11,820,7891,
20211003,1,1,24,1,8981,31,157,0,0,108,9277,
20211003,1,1,01,0,4473,38,112,101,55,383,5162,
20211003,1,1,45,0,1302,16,27,47,11,112,1515,
20211003,1,1,48,0,1652,19,42,17,6,212,1948,
20211003,1,1,34,0,4353,24,40,53,6,401,4877,
20211003,1,1,11,0,12742,149,191,141,84,1390,14697,
20211003,1,1,02,0,11562,82,147,122,25,1113,13051,
20211003,1,1,18,0,7748,94,205,227,53,791,9118,
20211003,1,1,28,0,6786,43,49,33,8,816,7735,
20211003,1,1,37,0,1951,19,47,75,37,316,2445,
20211003,1,1,46,0,386,4,5,12,2,42,451,
20211003,1,2,00,0,2378730,20027,37426,14872,19186,77569,2547810,
20211003,1,2,00,1,492953,3922,5841,2316,3227,20655,528914,
20211003,1,2,10,0,121307,525,1355,437,238,3961,127823,
20211003,1,2,10,1,6969,32,40,25,7,283,7356,
20211003,1,2,44,0,93354,782,885,328,786,4052,100187,
20211003,1,2,44,1,3924,9,86,3,0,154,4176,
20211003,1,2,27,1,29944,90,72,17,52,1420,31595,
20211003,1,2,08,0,88532,317,579,161,1270,3186,94045,
20211003,1,2,08,1,6750,7,6,0,3,264,7030,
20211003,1,2,26,1,17589,35,78,0,2,1038,18742,
20211003,1,2,43,1,60451,394,196,138,136,2281,63596,
20211003,1,2,01,0,140774,830,4149,1434,1945,3076,152208,
20211003,1,2,45,0,44839,259,940,655,1054,1371,49118,
20211003,1,2,48,0,53678,362,191,111,317,1836,56495,
20211003,1,2,34,0,78824,531,1012,502,379,2345,83593,
20211003,1,2,11,0,97437,658,910,324,779,3675,103783,
20211003,1,2,02,0,117909,922,1054,795,732,3313,124725,
20211003,1,2,18,0,73868,902,1314,693,1339,2944,81060,
20211003,1,2,28,0,56060,416,252,129,53,2722,59632,
20211003,1,2,37,0,11623,99,108,102,537,644,13113,
20211003,1,2,46,0,5577,43,151,83,108,189,6151,
20211004,0,1,00,0,308648,9073,22583,20407,6655,3501,370867,
20211004,0,1,00,1,53458,1593,2705,2762,1223,6508,68249,
20211004,0,1,10,0,8775,160,302,243,56,119,9655,
20211004,0,1,10,1,458,11,26,35,15,41,586,
20211004,0,1,44,0,7782,336,624,583,217,1185,10727,
20211004,0,1,44,1,354,16,11,1,1,40,423,
20211004,0,1,42,1,13112,377,313,687,848,677,16014,
20211004,0,1,08,0,12185,245,564,779,594,124,14491,
20211004,0,1,08,1,6833,30,13,78,38,67,7059,
20211004,0,1,26,1,3888,52,201,465,56,692,5354,
20211004,0,1,43,1,955,11,14,26,33,13,1052,
20211004,0,1,01,0,3930,106,410,453,168,30,5097,
20211004,0,1,45,0,842,25,175,196,39,75,1352,
20211004,0,1,48,0,905,59,198,234,34,165,1595,
20211004,0,1,34,0,3479,67,198,256,30,42,4072,
20211004,0,1,11,0,12162,344,855,660,162,475,14658,
20211004,0,1,02,0,10069,309,530,463,117,129,11617,
20211004,0,1,18,0,6416,453,1200,928,405,75,9477,
20211004,0,1,28,0,5154,122,154,144,59,454,6087,
20211004,0,1,37,0,1814,59,220,520,197,58,2868,
20211004,0,1,46,0,253,9,34,39,9,40,384,
20211004,0,2,00,0,2146671,57090,57664,46698,98123,79755,2486001,
20211004,0,2,00,1,476927,11189,7704,7495,12981,22033,538329,
20211004,0,2,10,0,86127,1380,1715,901,1169,3365,94657,
20211004,0,2,10,1,4795,101,68,168,284,268,5684,
20211004,0,2,44,0,86533,2354,1418,2006,5471,4449,102231,
20211004,0,2,44,1,2794,23,99,9,7,178,3110,
20211004,0,2,27,1,27802,314,138,197,591,1551,30593,
20211004,0,2,08,0,75730,953,1065,1047,5877,3375,88047,
20211004,0,2,08,1,3860,10,1,0,11,187,4069,
20211004,0,2,26,1,15266,108,85,1,14,1202,16676,
20211004,0,2,43,1,9571,88,30,42,125,382,10238,
20211004,0,2,24,1,2799,54,134,0,0,62,3049,
20211004,0,2,01,0,130533,2183,5434,4490,7666,3039,153345,
20211004,0,2,45,0,41426,655,1898,2324,3657,1316,51276,
20211004,0,2,48,0,42451,1239,598,769,2398,1792,49247,
20211004,0,2,34,0,65328,1101,1518,795,1721,2105,72568,
20211004,0,2,11,0,99156,2334,1797,1918,2466,4479,112150,
20211004,0,2,02,0,102835,2624,1913,2123,4255,3410,117160,
20211004,0,2,18,0,62949,3175,3753,2936,7523,2729,83065,
20211004,0,2,28,0,48634,1061,501,398,620,2609,53823,
20211004,0,2,37,0,11016,338,254,655,2662,810,15735,
20211004,0,2,46,0,4548,157,275,232,653,144,6009,
20211004,1,1,00,0,315450,8835,23144,20457,6497,32944,407327,
20211004,1,1,00,1,53544,1526,2564,3006,1243,6437,68320,
20211004,1,1,10,0,11461,174,273,307,81,957,13253,
20211004,1,1,10,1,539,5,15,37,11,54,661,
20211004,1,1,44,0,9071,343,632,615,188,1279,12128,
20211004,1,1,44,1,428,10,1,1,0,39,479,
20211004,1,1,42,1,11582,310,403,667,848,632,14442,
20211004,1,1,08,0,11285,242,503,940,408,1549,14927,
20211004,1,1,08,1,7445,22,21,82,40,89,7699,
20211004,1,1,26,1,3823,90,157,479,80,640,5269,
20211004,1,1,43,1,5534,116,197,292,107,705,6951,
20211004,1,1,24,1,5137,71,193,0,0,81,5482,
20211004,1,1,01,0,3890,86,381,415,170,363,5305,
20211004,1,1,45,0,1031,33,155,172,42,76,1509,
20211004,1,1,48,0,1304,67,206,233,35,196,2041,
20211004,1,1,34,0,3673,81,137,169,22,363,4445,
20211004,1,1,11,0,12014,361,856,712,211,1406,15560,
20211004,1,1,02,0,9830,290,569,466,123,1018,12296,
20211004,1,1,18,0,6407,389,1149,836,315,633,9729,
20211004,1,1,28,0,6084,125,189,169,55,744,7366,
20211004,1,1,37,0,1784,55,213,202,158,307,2719,
20211004,1,1,46,0,422,16,52,25,13,43,571,
20211004,1,2,00,0,2145671,57844,59978,45712,99978,81212,2490395,
20211004,1,2,00,1,478707,10816,7815,7075,12655,22073,539141,
20211004,1,2,10,0,99679,1342,1690,882,1095,3710,108398,
20211004,1,2,10,1,5783,116,51,175,214,322,6661,
20211004,1,2,44,0,85263,2342,1397,1960,5460,4372,100794,
20211004,1,2,44,1,3492,28,93,9,8,179,3809,
20211004,1,2,27,1,29487,283,128,210,600,1623,32331,
20211004,1,2,08,0,75520,927,1031,934,4999,3389,86800,
20211004,1,2,08,1,4950,14,4,5,15,228,5216,
20211004,1,2,26,1,15768,111,89,2,8,1252,17230,
20211004,1,2,43,1,53677,961,343,452,870,2297,58600,
20211004,1,2,01,0,128761,2095,5234,4206,7368,3025,150689,
20211004,1,2,45,0,40977,646,1894,2275,3656,1321,50769,
20211004,1,2,48,0,43840,1237,576,749,2436,1822,50660,
20211004,1,2,34,0,69630,1101,1454,816,1750,2186,76937,
20211004,1,2,11,0,95329,2223,1807,1792,2354,4338,107843,
20211004,1,2,02,0,102203,2633,1913,2069,4319,3396,116533,
20211004,1,2,18,0,65404,3089,3658,2835,7439,2720,85145,
20211004,1,2,28,0,51786,1108,538,442,603,2756,57233,
20211004,1,2,37,0,10996,358,233,519,2635,824,15565,
20211004,1,2,46,0,5503,181,287,246,647,174,7038,
20211005,0,1,00,0,280114,13749,36041,32889,11557,3939,378289,
20211005,0,1,00,1,56795,2465,4409,3867,1650,7731,76917,
20211005,0,1,10,0,7738,228,443,303,50,151,8913,
20211005,0,1,10,1,762,38,46,57,12,103,1018,
20211005,0,1,44,0,7778,549,972,669,230,1320,11518,
20211005,0,1,44,1,458,15,21,1,3,86,584,
20211005,0,1,42,1,16021,686,666,572,768,1126,19839,
20211005,0,1,08,0,10740,403,961,1273,925,155,14457,
20211005,0,1,08,1,2857,31,29,56,19,42,3034,
20211005,0,1,26,1,4618,94,272,418,156,895,6453,
20211005,0,1,43,1,1234,33,31,31,18,28,1375,
20211005,0,1,01,0,3620,198,743,812,267,26,5666,
20211005,0,1,45,0,747,48,228,320,69,69,1481,
20211005,0,1,48,0,1212,95,365,343,51,231,2297,
20211005,0,1,34,0,3010,91,337,279,43,33,3793,
20211005,0,1,11,0,12652,524,1421,889,226,598,16310,
20211005,0,1,02,0,9267,432,794,668,174,136,11471,
20211005,0,1,18,0,6772,746,2337,1905,955,128,12843,
20211005,0,1,28,0,6172,238,271,224,56,582,7543,
20211005,0,1,37,0,1867,151,591,1014,449,59,4131,
20211005,0,1,46,0,337,15,77,77,21,53,580,
20211005,0,2,00,0,2056822,85518,81419,73767,143292,94899,2535717,
20211005,0,2,00,1,533394,16868,11994,10497,17138,30393,620284,
20211005,0,2,10,0,77236,1907,1908,1182,1267,4009,87509,
20211005,0,2,10,1,8581,211,102,234,314,605,10047,
20211005,0,2,44,0,89429,3269,1961,2334,5197,6447,108637,
20211005,0,2,44,1,4042,34,136,12,7,271,4502,
20211005,0,2,27,1,31336,354,225,224,268,2214,34621,
20211005,0,2,08,0,68341,1399,1642,1705,8705,3613,85405,
20211005,0,2,08,1,2281,15,2,2,9,119,2428,
20211005,0,2,26,1,17321,145,112,8,18,1810,19414,
20211005,0,2,43,1,14502,149,61,42,149,743,15646,
20211005,0,2,24,1,2036,55,130,0,0,63,2284,
20211005,0,2,01,0,109286,3631,6601,7162,12175,2548,141403,
20211005,0,2,45,0,26474,1096,2724,3784,5329,808,40215,
20211005,0,2,48,0,45906,2253,1464,1340,3453,2632,57048,
20211005,0,2,34,0,54173,1605,1946,1049,1897,2160,62830,
20211005,0,2,11,0,110708,3975,3173,2660,3865,6166,130547,
20211005,0,2,02,0,86991,3539,2417,3297,6611,3357,106212,
20211005,0,2,18,0,66681,5564,6269,5432,11826,3142,98914,
20211005,0,2,28,0,64748,1722,890,758,869,4455,73442,
20211005,0,2,37,0,12063,694,472,1584,5176,1111,21100,
20211005,0,2,46,0,6645,388,400,536,1160,223,9352,
20211005,1,1,00,0,288045,13544,37014,32797,11344,31083,413827,
20211005,1,1,00,1,57652,2409,4458,4088,1823,7885,78315,
20211005,1,1,10,0,7629,221,413,298,54,900,9515,
20211005,1,1,10,1,697,27,33,66,14,113,950,
20211005,1,1,44,0,8971,594,958,696,226,1411,12856,
20211005,1,1,44,1,551,13,21,4,0,91,680,
20211005,1,1,42,1,15602,516,693,509,884,995,19199,
20211005,1,1,08,0,9619,342,876,1390,624,1286,14137,
20211005,1,1,08,1,3329,36,27,61,26,61,3540,
20211005,1,1,26,1,4398,137,227,433,163,887,6245,
20211005,1,1,43,1,6758,211,380,367,98,965,8779,
20211005,1,1,24,1,2201,53,121,0,0,61,2436,
20211005,1,1,01,0,3748,205,717,757,267,306,6000,
20211005,1,1,45,0,914,49,198,250,61,60,1532,
20211005,1,1,48,0,1532,80,343,304,61,232,2552,
20211005,1,1,34,0,2922,100,263,171,42,307,3805,
20211005,1,1,11,0,13088,596,1467,976,322,1676,18125,
20211005,1,1,02,0,8599,409,847,707,196,1005,11763,
20211005,1,1,18,0,6281,651,2216,1671,757,702,12278,
20211005,1,1,28,0,6602,230,311,276,88,935,8442,
20211005,1,1,37,0,1870,154,579,751,389,290,4033,
20211005,1,1,46,0,430,16,93,68,26,65,698,
20211005,1,2,00,0,2063482,86678,85328,72898,147505,96482,2552373,
20211005,1,2,00,1,545928,16971,12225,10520,17715,31059,634418,
20211005,1,2,10,0,78529,1885,1879,1210,1190,4049,88742,
20211005,1,2,10,1,6987,169,89,239,179,489,8152,
20211005,1,2,44,0,88192,3226,1963,2300,5171,6361,107213,
20211005,1,2,44,1,5513,49,151,24,11,350,6098,
20211005,1,2,27,1,33088,355,219,230,333,2288,36513,
20211005,1,2,08,0,66936,1393,1562,1508,7266,3602,82267,
20211005,1,2,08,1,2602,18,4,2,12,135,2773,
20211005,1,2,26,1,17471,145,121,13,33,1783,19566,
20211005,1,2,43,1,72750,1604,603,691,1441,3987,81076,
20211005,1,2,01,0,106916,3531,6447,6680,11790,2484,137848,
