집계일자,입출구구분코드,TCS하이패스구분코드,고속도로운영기관구분코드,영업형태구분코드,1종교통량,2종교통량,3종교통량,4종교통량,5종교통량,6종교통량,총교통량,
20210201,0,1,00,0,260647,12019,34624,30605,10521,4238,352654,
20210201,0,1,00,1,60264,2505,4701,3598,1812,8338,81218,
20210201,0,1,10,0,7707,216,487,284,58,197,8949,
20210201,0,1,10,1,620,25,51,34,13,121,864,
20210201,0,1,44,0,8127,542,974,720,287,1465,12115,
20210201,0,1,44,1,583,11,18,2,0,92,706,
20210201,0,1,42,1,16806,684,822,463,980,1140,20895,
20210201,0,1,08,0,9901,317,833,931,913,140,13035,
20210201,0,1,08,1,2297,18,22,23,39,41,2440,
20210201,0,1,26,1,3976,95,157,173,128,765,5294,
20210201,0,1,43,1,1158,23,40,23,29,32,1305,
20210201,0,1,01,0,3582,136,647,729,207,27,5328,
20210201,0,1,45,0,682,32,233,283,56,58,1344,
20210201,0,1,34,0,2713,100,217,294,46,40,3410,
20210201,0,1,11,0,11837,504,1376,909,291,557,15474,
20210201,0,1,18,0,6718,792,2339,1903,756,97,12605,
20210201,0,1,28,0,6345,279,341,219,54,706,7944,
20210201,0,1,37,0,1676,114,548,1032,385,60,3815,
20210201,0,1,02,0,7911,397,785,778,515,118,10504,
20210201,0,1,46,0,306,10,61,81,20,44,522,
20210201,0,2,00,0,1751747,75847,73843,65606,120851,86344,2174238,
20210201,0,2,00,1,507742,16318,11392,9528,15794,30133,590907,
20210201,0,2,24,1,1899,55,107,0,0,32,2093,
20210201,0,2,10,0,65265,1854,1705,1097,1252,3797,74970,
20210201,0,2,10,1,6734,157,66,120,405,434,7916,
20210201,0,2,44,0,76469,3061,1708,2170,6402,5764,95574,
20210201,0,2,44,1,4020,31,132,15,9,297,4504,
20210201,0,2,27,1,26853,328,168,334,195,2051,29929,
20210201,0,2,08,0,56772,1260,1325,1287,7242,3110,70996,
20210201,0,2,08,1,1763,11,2,2,9,92,1879,
20210201,0,2,26,1,14787,125,105,4,18,1655,16694,
20210201,0,2,43,1,12436,135,47,44,158,706,13526,
20210201,0,2,01,0,96379,2871,5922,6246,10671,2400,124489,
20210201,0,2,45,0,21089,785,2419,3100,4728,666,32787,
20210201,0,2,34,0,42787,1378,1509,655,1404,1991,49724,
20210201,0,2,11,0,95846,3552,3043,2165,2786,5710,113102,
20210201,0,2,18,0,46920,4138,2613,3273,7378,2430,66752,
20210201,0,2,28,0,59916,1618,763,728,692,4172,67889,
20210201,0,2,37,0,9677,605,314,1274,4225,856,16951,
20210201,0,2,02,0,72317,3151,1883,2368,5061,2761,87541,
20210201,0,2,46,0,4600,313,340,414,910,164,6741,
20210201,1,1,00,0,266018,12339,35038,30005,10489,29823,383712,
20210201,1,1,00,1,61083,2329,4720,3720,2012,8291,82155,
20210201,1,1,24,1,2373,55,113,0,0,46,2587,
20210201,1,1,10,0,7437,199,464,317,59,890,9366,
20210201,1,1,10,1,637,25,41,37,13,105,858,
20210201,1,1,44,0,9099,571,965,759,333,1544,13271,
20210201,1,1,44,1,617,19,16,3,0,98,753,
20210201,1,1,42,1,16302,618,669,384,1029,1105,20107,
20210201,1,1,08,0,8869,302,818,1164,682,1253,13088,
20210201,1,1,08,1,2576,18,20,22,30,34,2700,
20210201,1,1,26,1,3937,113,125,175,155,755,5260,
20210201,1,1,43,1,6757,214,371,392,136,903,8773,
20210201,1,1,01,0,3526,124,655,620,224,282,5431,
20210201,1,1,45,0,840,34,228,235,48,55,1440,
20210201,1,1,34,0,2662,101,226,180,57,258,3484,
20210201,1,1,11,0,12112,558,1404,908,332,1561,16875,
20210201,1,1,18,0,6345,721,2295,1696,727,727,12511,
20210201,1,1,28,0,6633,274,381,243,86,1046,8663,
20210201,1,1,37,0,1588,110,514,637,328,314,3491,
20210201,1,1,02,0,7512,381,754,649,231,826,10353,
