집계일자,입출구구분코드,TCS하이패스구분코드,고속도로운영기관구분코드,영업형태구분코드,1종교통량,2종교통량,3종교통량,4종교통량,5종교통량,6종교통량,총교통량,
20210101,0,1,00,0,242241,3113,7047,7543,1738,2507,264189,
20210101,0,1,00,1,47902,697,895,718,284,5771,56267,
20210101,0,1,10,0,9585,73,97,77,13,323,10168,
20210101,0,1,10,1,336,11,29,1,1,50,428,
20210101,0,1,44,0,6592,138,164,124,43,888,7949,
20210101,0,1,44,1,295,2,3,0,0,33,333,
20210101,0,1,42,1,11613,115,173,50,49,619,12619,
20210101,0,1,08,0,12044,57,149,157,185,93,12685,
20210101,0,1,08,1,6631,18,15,5,1,69,6739,
20210101,0,1,26,1,3084,29,25,8,1,433,3580,
20210101,0,1,43,1,737,5,3,10,19,7,781,
20210101,0,1,01,0,3372,32,114,176,35,17,3746,
20210101,0,1,45,0,680,5,31,60,21,61,858,
20210101,0,1,34,0,3362,20,44,31,14,18,3489,
20210101,0,1,11,0,8070,96,218,107,35,304,8830,
20210101,0,1,18,0,6223,106,222,193,75,55,6874,
20210101,0,1,28,0,4496,43,56,54,5,363,5017,
20210101,0,1,37,0,1841,15,48,94,25,46,2069,
20210101,0,1,02,0,8022,119,159,150,35,80,8565,
20210101,0,1,46,0,188,0,3,6,1,24,222,
20210101,0,2,00,0,1440574,27495,37364,19708,20375,49775,1595291,
20210101,0,2,00,1,341957,4854,5657,2592,2773,15682,373515,
20210101,0,2,24,1,4214,36,79,0,0,51,4380,
20210101,0,2,10,0,91455,703,1193,305,275,3202,97133,
20210101,0,2,10,1,3203,42,13,15,9,133,3415,
20210101,0,2,44,0,52351,828,906,370,378,2794,57627,
20210101,0,2,44,1,2081,6,88,3,1,112,2291,
20210101,0,2,27,1,18141,114,47,17,15,974,19308,
20210101,0,2,08,0,66284,397,535,170,1385,2420,71191,
20210101,0,2,08,1,5185,1,5,1,6,196,5394,
20210101,0,2,26,1,11451,49,69,1,0,734,12304,
20210101,0,2,43,1,5959,47,25,29,75,241,6376,
20210101,0,2,01,0,93205,902,3980,1747,2506,1959,104299,
20210101,0,2,45,0,26936,227,795,685,1139,1017,30799,
20210101,0,2,34,0,52712,542,912,213,208,1761,56348,
20210101,0,2,11,0,55202,804,1070,457,438,2418,60389,
20210101,0,2,18,0,34721,664,754,534,983,1399,39055,
20210101,0,2,28,0,32215,536,265,165,101,1745,35027,
20210101,0,2,37,0,9728,185,48,126,333,570,10990,
