집계일자,입출구구분코드,TCS하이패스구분코드,고속도로운영기관구분코드,영업형태구분코드,1종교통량,2종교통량,3종교통량,4종교통량,5종교통량,6종교통량,총교통량,
20200301,0,1,00,0,228876,3254,7059,6099,2112,2727,250127,
20200301,0,1,00,1,50940,769,1152,661,407,5944,59873,
20200301,0,1,10,0,8713,77,187,73,15,232,9297,
20200301,0,1,10,1,417,6,4,0,0,35,462,
20200301,0,1,44,0,5919,113,150,100,57,798,7137,
20200301,0,1,44,1,243,4,15,0,0,36,298,
20200301,0,1,42,1,7192,69,160,39,122,387,7969,
20200301,0,1,08,0,8767,82,122,175,256,97,9499,
20200301,0,1,08,1,3134,17,13,4,5,60,3233,
20200301,0,1,26,1,2458,19,10,16,66,370,2939,
20200301,0,1,43,1,752,10,6,7,7,13,795,
20200301,0,1,01,0,3064,54,85,110,60,14,3387,
20200301,0,1,45,0,511,26,37,59,13,45,691,
20200301,0,1,34,0,2947,24,64,31,9,30,3105,
20200301,0,1,11,0,8068,158,246,130,36,351,8989,
20200301,0,1,02,0,5053,112,181,139,47,84,5616,
20200301,0,1,18,0,5573,74,257,194,111,60,6269,
20200301,0,1,28,0,4416,54,82,39,5,363,4959,
20200301,0,1,37,0,1317,19,50,161,91,36,1674,
20200301,0,1,46,0,211,7,5,8,11,23,265,
20200301,0,2,00,0,1145690,18294,38039,14626,19478,45388,1281515,
20200301,0,2,00,1,295952,3865,5899,2143,3197,15254,326310,
20200301,0,2,10,0,64171,432,1246,177,189,2731,68946,
20200301,0,2,10,1,3035,23,11,15,9,147,3240,
20200301,0,2,44,0,41906,626,603,257,648,2520,46560,
20200301,0,2,44,1,1331,11,48,2,0,73,1465,
20200301,0,2,27,1,12179,84,38,38,64,703,13106,
20200301,0,2,08,0,41354,261,547,172,1242,1886,45462,
20200301,0,2,08,1,2992,9,1,0,6,154,3162,
20200301,0,2,26,1,7471,24,65,0,0,613,8173,
20200301,0,2,43,1,4991,40,9,12,39,261,5352,
20200301,0,2,24,1,1980,11,83,0,0,30,2104,
20200301,0,2,01,0,85182,657,5516,1817,2340,2079,97591,
20200301,0,2,45,0,17762,192,1283,759,1118,713,21827,
20200301,0,2,34,0,43351,450,1180,171,172,1517,46841,
20200301,0,2,11,0,44847,578,1151,295,385,2168,49424,
20200301,0,2,02,0,41951,751,732,493,921,1281,46129,
20200301,0,2,18,0,25821,489,1014,301,2028,1248,30901,
20200301,0,2,28,0,26472,374,392,92,72,1595,28997,
20200301,0,2,37,0,5681,90,43,174,943,386,7317,
20200301,0,2,46,0,879,6,96,13,32,42,1068,
20200301,1,1,00,0,231878,3559,7148,5908,2102,23609,274204,
20200301,1,1,00,1,49817,845,1030,885,581,5834,58992,
20200301,1,1,10,0,9795,75,100,90,17,945,11022,
20200301,1,1,10,1,502,10,2,5,0,42,561,
20200301,1,1,44,0,6636,112,147,109,53,854,7911,
20200301,1,1,44,1,261,5,7,0,0,22,295,
20200301,1,1,42,1,6690,91,144,37,92,364,7418,
20200301,1,1,08,0,7917,80,101,187,146,962,9393,
20200301,1,1,08,1,3432,8,10,7,3,64,3524,
20200301,1,1,26,1,2455,12,13,4,69,374,2927,
20200301,1,1,43,1,4716,58,66,58,12,549,5459,
20200301,1,1,24,1,3556,42,110,0,0,41,3749,
20200301,1,1,01,0,3129,41,126,97,52,290,3735,
20200301,1,1,45,0,668,28,43,49,11,57,856,
20200301,1,1,34,0,3247,26,58,48,7,323,3709,
20200301,1,1,11,0,7662,143,249,136,39,943,9172,
20200301,1,1,02,0,5129,100,204,107,45,517,6102,
20200301,1,1,18,0,5406,80,240,183,107,491,6507,
20200301,1,1,28,0,4761,65,77,38,8,639,5588,
20200301,1,1,37,0,1288,15,58,56,49,202,1668,
20200301,1,1,46,0,252,5,7,10,11,25,310,
20200301,1,2,00,0,1129957,17828,38083,13532,17973,45875,1263248,
20200301,1,2,00,1,283670,3469,5838,2161,2876,14514,312528,
20200301,1,2,10,0,71827,452,1333,170,174,2902,76858,
20200301,1,2,10,1,3380,31,15,25,13,171,3635,
20200301,1,2,44,0,41199,617,591,245,638,2469,45759,
20200301,1,2,44,1,1391,7,49,0,2,79,1528,
20200301,1,2,27,1,13058,70,56,47,52,781,14064,
20200301,1,2,08,0,40253,259,537,120,982,1792,43943,
20200301,1,2,08,1,2709,8,2,0,7,159,2885,
20200301,1,2,26,1,7800,21,68,0,0,614,8503,
20200301,1,2,43,1,30411,338,267,94,198,1498,32806,
20200301,1,2,01,0,86132,669,5478,1729,2288,2102,98398,
20200301,1,2,45,0,17850,179,1288,709,1074,712,21812,
20200301,1,2,34,0,46571,440,1181,178,174,1631,50175,
20200301,1,2,11,0,43055,516,1156,266,358,2064,47415,
20200301,1,2,02,0,41907,730,739,500,783,1325,45984,
20200301,1,2,18,0,24207,470,1010,303,1981,1134,29105,
20200301,1,2,28,0,26502,378,444,98,73,1620,29115,
20200301,1,2,37,0,5728,79,40,94,442,375,6758,
20200301,1,2,46,0,1221,8,97,18,37,61,1442,
20200302,0,1,00,0,258406,13946,35319,30641,11869,4570,354751,
20200302,0,1,00,1,65886,2740,5294,4327,1982,9545,89774,
20200302,0,1,10,0,7897,228,511,319,63,273,9291,
20200302,0,1,10,1,770,38,56,34,12,131,1041,
20200302,0,1,44,0,8195,596,1065,699,353,1377,12285,
20200302,0,1,44,1,467,19,9,2,2,102,601,
20200302,0,1,42,1,14903,675,856,480,1265,1078,19257,
20200302,0,1,08,0,9949,407,917,966,1098,172,13509,
20200302,0,1,08,1,1789,26,10,20,21,58,1924,
20200302,0,1,26,1,3959,134,144,112,155,766,5270,
20200302,0,1,43,1,1282,27,19,20,18,35,1401,
20200302,0,1,01,0,3273,137,675,713,228,24,5050,
20200302,0,1,45,0,606,43,207,265,63,46,1230,
20200302,0,1,34,0,2753,100,250,221,70,45,3439,
20200302,0,1,11,0,11353,638,1308,924,232,615,15070,
20200302,0,1,02,0,6352,407,719,622,206,92,8398,
20200302,0,1,18,0,6881,772,2650,1903,787,169,13162,
20200302,0,1,28,0,6233,230,320,186,64,646,7679,
20200302,0,1,37,0,1751,171,515,998,434,62,3931,
20200302,0,1,46,0,299,11,78,66,29,18,501,
20200302,0,2,00,0,1515347,73876,75685,59176,121152,79165,1924401,
20200302,0,2,00,1,467044,15658,11349,9283,15230,29229,547793,
20200302,0,2,10,0,58862,1602,1834,754,985,3713,67750,
20200302,0,2,10,1,6509,141,57,104,327,498,7636,
20200302,0,2,44,0,65907,2938,1389,1644,5427,5303,82608,
20200302,0,2,44,1,3112,23,86,16,5,237,3479,
20200302,0,2,27,1,20233,281,117,116,242,1606,22595,
20200302,0,2,08,0,47974,1199,1349,1174,7088,2857,61641,
20200302,0,2,08,1,1757,9,5,1,8,117,1897,
20200302,0,2,26,1,12855,124,103,5,9,1463,14559,
20200302,0,2,43,1,11068,119,46,37,75,630,11975,
20200302,0,2,24,1,1549,66,119,0,0,44,1778,
20200302,0,2,01,0,82888,2713,7127,5862,9779,2104,110473,
20200302,0,2,45,0,15407,829,2576,3124,4709,601,27246,
20200302,0,2,34,0,36977,1343,1751,683,1955,1723,44432,
20200302,0,2,11,0,83580,3321,3124,1933,2878,5519,100355,
20200302,0,2,02,0,54568,2871,1735,1903,4072,2217,67366,
20200302,0,2,18,0,45741,4128,3044,2925,6870,2649,65357,
20200302,0,2,28,0,50876,1453,871,558,652,3940,58350,
20200302,0,2,37,0,8453,592,333,1049,4375,841,15643,
20200302,0,2,46,0,1648,86,169,125,214,75,2317,
20200302,1,1,00,0,262335,14629,35800,30110,11984,29620,384478,
20200302,1,1,00,1,67269,2958,5087,4578,2259,9604,91755,
20200302,1,1,10,0,7772,235,438,323,70,925,9763,
20200302,1,1,10,1,746,36,38,43,5,109,977,
20200302,1,1,44,0,9133,631,1079,694,369,1459,13365,
20200302,1,1,44,1,584,12,10,4,2,96,708,
20200302,1,1,42,1,14309,673,686,376,1102,1018,18164,
20200302,1,1,08,0,8807,376,867,1110,806,1282,13248,
20200302,1,1,08,1,2093,22,13,20,29,59,2236,
20200302,1,1,26,1,3885,89,182,122,148,707,5133,
20200302,1,1,43,1,7198,283,379,345,117,1042,9364,
20200302,1,1,24,1,1876,74,131,0,0,46,2127,
20200302,1,1,01,0,3277,150,632,614,252,270,5195,
20200302,1,1,45,0,721,39,212,205,67,56,1300,
20200302,1,1,34,0,2682,101,273,176,56,286,3574,
20200302,1,1,11,0,11464,601,1396,909,281,1487,16138,
20200302,1,1,02,0,6540,375,775,631,207,657,9185,
20200302,1,1,18,0,6645,735,2471,1656,740,712,12959,
20200302,1,1,28,0,7004,272,336,253,98,1060,9023,
20200302,1,1,37,0,1635,147,529,612,402,302,3627,
20200302,1,1,46,0,363,22,75,57,33,37,587,
20200302,1,2,00,0,1504813,73997,75949,56664,122298,80094,1913815,
20200302,1,2,00,1,472864,15918,11583,9225,15799,29697,555086,
20200302,1,2,10,0,58799,1579,1889,726,945,3672,67610,
20200302,1,2,10,1,5480,137,53,102,284,423,6479,
20200302,1,2,44,0,64925,2891,1377,1632,5378,5218,81421,
20200302,1,2,44,1,3648,27,94,21,20,285,4095,
20200302,1,2,27,1,21456,272,123,195,268,1624,23938,
20200302,1,2,08,0,47336,1193,1296,1011,5927,2823,59586,
20200302,1,2,08,1,1931,14,7,1,10,143,2106,
20200302,1,2,26,1,12822,115,108,7,11,1474,14537,
20200302,1,2,43,1,58095,1526,582,531,1160,3609,65503,
20200302,1,2,01,0,83484,2757,7100,5575,9472,2137,110525,
20200302,1,2,45,0,15358,804,2560,3049,4660,595,27026,
20200302,1,2,34,0,36927,1332,1731,667,1955,1753,44365,
20200302,1,2,11,0,80732,3272,3002,1806,2853,5333,96998,
20200302,1,2,02,0,54080,2872,1742,1883,3971,2234,66782,
20200302,1,2,18,0,44365,3957,3017,2676,6598,2572,63185,
20200302,1,2,28,0,49599,1530,929,625,660,3920,57263,
20200302,1,2,37,0,8299,540,292,745,4673,825,15374,
20200302,1,2,46,0,2076,111,178,125,236,82,2808,
20200303,0,1,00,0,246032,14187,37738,34577,13039,4485,350058,
20200303,0,1,00,1,64350,2891,5694,4655,2240,9284,89114,
20200303,0,1,10,0,7594,228,514,310,76,297,9019,
20200303,0,1,10,1,724,29,59,29,28,111,980,
20200303,0,1,44,0,8406,591,1103,819,302,1409,12630,
20200303,0,1,44,1,480,11,20,1,1,85,598,
20200303,0,1,42,1,15345,734,910,560,1047,1114,19710,
20200303,0,1,08,0,9510,463,976,1029,1127,137,13242,
20200303,0,1,08,1,1840,28,18,104,30,47,2067,
20200303,0,1,26,1,3892,123,148,111,126,743,5143,
20200303,0,1,43,1,1386,33,32,25,15,43,1534,
20200303,0,1,01,0,2928,164,661,834,282,16,4885,
20200303,0,1,45,0,569,58,208,259,77,38,1209,
20200303,0,1,34,0,2532,89,223,216,78,38,3176,
20200303,0,1,11,0,11161,649,1401,948,243,509,14911,
20200303,0,1,02,0,5947,425,779,569,199,108,8027,
20200303,0,1,18,0,6286,808,2680,2045,837,133,12789,
20200303,0,1,28,0,5942,237,362,238,66,606,7451,
20200303,0,1,37,0,1754,171,598,1069,545,46,4183,
20200303,0,1,46,0,288,14,72,56,28,29,487,
20200303,0,2,00,0,1474453,77748,78313,66467,131167,77174,1905322,
20200303,0,2,00,1,467346,16511,11796,10045,17528,29534,552760,
20200303,0,2,10,0,57138,1736,1757,880,1392,3518,66421,
20200303,0,2,10,1,5811,140,68,113,365,429,6926,
20200303,0,2,44,0,66764,2966,1449,1937,5216,5392,83724,
20200303,0,2,44,1,3192,27,81,17,7,273,3597,
20200303,0,2,27,1,20098,284,138,99,228,1554,22401,
20200303,0,2,08,0,46663,1178,1435,1395,7422,2881,60974,
20200303,0,2,08,1,1770,16,2,4,11,105,1908,
20200303,0,2,26,1,12866,129,105,7,11,1450,14568,
20200303,0,2,43,1,11175,148,54,33,92,682,12184,
20200303,0,2,24,1,1676,66,116,0,0,41,1899,
20200303,0,2,01,0,76959,2993,7207,6602,11214,1717,106692,
20200303,0,2,45,0,14147,920,2857,3797,5147,486,27354,
20200303,0,2,34,0,36262,1367,1873,707,2177,1660,44046,
20200303,0,2,11,0,83566,3546,3219,2372,3186,5606,101495,
20200303,0,2,02,0,52498,2920,1847,2253,5024,2221,66763,
20200303,0,2,18,0,44025,4166,3040,3196,7303,2638,64368,
20200303,0,2,28,0,48774,1550,910,703,791,3805,56533,
20200303,0,2,37,0,8321,588,343,1354,4822,857,16285,
20200303,0,2,46,0,1589,108,159,112,208,81,2257,
20200303,1,1,00,0,249722,14975,38489,35878,13658,28402,381124,
20200303,1,1,00,1,67943,3079,5549,5058,2560,9644,93833,
20200303,1,1,10,0,7294,215,459,291,80,879,9218,
20200303,1,1,10,1,780,29,45,38,27,117,1036,
20200303,1,1,44,0,9523,621,1135,848,321,1494,13942,
20200303,1,1,44,1,540,15,17,2,2,90,666,
20200303,1,1,42,1,14294,702,708,477,949,1007,18137,
20200303,1,1,08,0,8483,417,859,1229,853,1131,12972,
20200303,1,1,08,1,2131,22,16,107,23,60,2359,
20200303,1,1,26,1,3828,95,152,114,139,723,5051,
20200303,1,1,43,1,7132,280,317,359,115,1071,9274,
20200303,1,1,24,1,1784,80,124,0,0,44,2032,
20200303,1,1,01,0,2895,161,698,739,289,239,5021,
20200303,1,1,45,0,685,65,220,211,87,39,1307,
20200303,1,1,34,0,2467,101,241,203,75,277,3364,
20200303,1,1,11,0,11471,623,1413,918,328,1411,16164,
20200303,1,1,02,0,5952,403,831,633,233,713,8765,
20200303,1,1,18,0,6127,799,2552,1861,765,700,12804,
20200303,1,1,28,0,7223,293,407,296,96,1011,9326,
20200303,1,1,37,0,1649,156,580,770,515,272,3942,
20200303,1,1,46,0,310,13,69,52,25,39,508,
20200303,1,2,00,0,1467654,78508,80659,67279,136040,78046,1908186,
20200303,1,2,00,1,474485,16898,11954,10937,17706,29903,561883,
20200303,1,2,10,0,56613,1714,1826,844,1348,3475,65820,
20200303,1,2,10,1,5615,145,64,129,316,428,6697,
20200303,1,2,44,0,65615,2915,1424,1907,5176,5292,82329,
20200303,1,2,44,1,3507,42,93,22,9,251,3924,
20200303,1,2,27,1,20874,269,162,131,238,1617,23291,
20200303,1,2,08,0,45428,1193,1347,1331,6231,2833,58363,
20200303,1,2,08,1,1977,18,6,6,11,127,2145,
20200303,1,2,26,1,12587,118,109,7,15,1447,14283,
20200303,1,2,43,1,58634,1727,632,654,1182,3716,66545,
20200303,1,2,01,0,77019,2983,7232,6375,10794,1745,106148,
20200303,1,2,45,0,14114,908,2857,3791,5161,483,27314,
20200303,1,2,34,0,36124,1384,1840,673,2251,1656,43928,
20200303,1,2,11,0,79577,3447,3153,2310,3201,5317,97005,
20200303,1,2,02,0,52581,2928,1851,2290,4953,2214,66817,
20200303,1,2,18,0,43890,4057,3126,3082,7352,2662,64169,
20200303,1,2,28,0,48596,1591,989,756,801,3852,56585,
20200303,1,2,37,0,8065,564,309,1176,5531,831,16476,
20200303,1,2,46,0,1732,133,176,111,224,82,2458,
20200304,0,1,00,0,244246,13833,36883,33280,12430,4404,345076,
20200304,0,1,00,1,64228,2736,5645,4298,2285,9138,88330,
20200304,0,1,10,0,7146,225,514,309,75,254,8523,
20200304,0,1,10,1,659,25,51,40,9,105,889,
20200304,0,1,44,0,8145,587,1110,749,298,1318,12207,
20200304,0,1,44,1,535,11,17,3,2,96,664,
20200304,0,1,42,1,15550,681,911,464,1044,1120,19770,
20200304,0,1,08,0,9819,447,896,1264,1113,137,13676,
20200304,0,1,08,1,1985,29,17,149,21,51,2252,
20200304,0,1,26,1,4697,111,118,169,139,849,6083,
20200304,0,1,43,1,1377,22,29,31,20,34,1513,
20200304,0,1,01,0,2757,155,633,819,279,19,4662,
20200304,0,1,45,0,549,45,159,228,85,33,1099,
20200304,0,1,34,0,2443,81,221,245,58,46,3094,
20200304,0,1,11,0,10806,637,1271,892,273,538,14417,
20200304,0,1,02,0,6090,416,743,980,214,113,8556,
20200304,0,1,18,0,6319,738,2571,1882,806,138,12454,
20200304,0,1,28,0,5998,217,337,219,80,600,7451,
20200304,0,1,37,0,1653,153,536,1019,508,50,3919,
20200304,0,1,46,0,290,16,60,61,40,18,485,
20200304,0,2,00,0,1479012,75827,76978,64089,129422,77441,1902769,
20200304,0,2,00,1,467827,16177,11620,9564,17384,29911,552483,
20200304,0,2,10,0,55832,1591,1696,839,1294,3492,64744,
20200304,0,2,10,1,5678,121,49,130,322,404,6704,
20200304,0,2,44,0,65838,2935,1462,1964,5580,5329,83108,
20200304,0,2,44,1,3409,39,87,16,3,258,3812,
20200304,0,2,27,1,20125,311,146,100,169,1624,22475,
20200304,0,2,08,0,48150,1226,1423,1220,7434,2864,62317,
20200304,0,2,08,1,1920,12,3,4,14,120,2073,
20200304,0,2,26,1,12142,101,80,1,10,1411,13745,
20200304,0,2,43,1,11092,117,51,46,102,673,12081,
20200304,0,2,24,1,1600,67,119,0,0,44,1830,
20200304,0,2,01,0,76697,2951,7065,6168,10887,1811,105579,
20200304,0,2,45,0,13828,880,2615,3576,5167,485,26551,
20200304,0,2,34,0,34800,1310,1847,653,1767,1684,42061,
20200304,0,2,11,0,83080,3380,3202,2044,3588,5396,100690,
20200304,0,2,02,0,53414,2991,1821,2134,4981,2169,67510,
20200304,0,2,18,0,43349,4022,2970,3087,7385,2568,63381,
20200304,0,2,28,0,48610,1444,885,669,724,3781,56113,
20200304,0,2,37,0,8611,574,347,1285,4815,822,16454,
20200304,0,2,46,0,1653,95,155,113,201,68,2285,
20200304,1,1,00,0,249413,14692,37685,34523,13095,27817,377225,
20200304,1,1,00,1,67826,2893,5370,5045,2665,9546,93345,
20200304,1,1,10,0,7135,221,428,286,75,870,9015,
20200304,1,1,10,1,770,29,45,42,8,116,1010,
20200304,1,1,44,0,9219,627,1139,773,303,1414,13475,
20200304,1,1,44,1,571,8,13,4,2,92,690,
20200304,1,1,42,1,13856,683,660,369,887,946,17401,
20200304,1,1,08,0,8655,401,827,1526,840,1213,13462,
20200304,1,1,08,1,2267,30,18,142,21,61,2539,
20200304,1,1,26,1,3815,88,121,161,164,759,5108,
20200304,1,1,43,1,7007,261,382,379,129,1017,9175,
20200304,1,1,24,1,1738,73,142,0,0,45,1998,
20200304,1,1,01,0,2686,140,641,665,268,239,4639,
20200304,1,1,45,0,644,40,198,247,86,40,1255,
20200304,1,1,34,0,2468,93,256,170,54,313,3354,
20200304,1,1,11,0,10926,597,1353,869,375,1432,15552,
20200304,1,1,02,0,6163,370,802,1024,232,651,9242,
20200304,1,1,18,0,6168,689,2384,1771,789,684,12485,
20200304,1,1,28,0,6995,258,381,273,104,1001,9012,
20200304,1,1,37,0,1563,156,528,709,514,265,3735,
20200304,1,1,46,0,319,22,86,62,28,30,547,
20200304,1,2,00,0,1471038,76485,79138,64293,134168,78320,1903442,
20200304,1,2,00,1,476245,16400,11913,10153,17595,30222,562528,
20200304,1,2,10,0,55248,1562,1764,792,1242,3447,64055,
20200304,1,2,10,1,5589,128,52,143,256,408,6576,
20200304,1,2,44,0,64743,2886,1434,1940,5522,5227,81752,
20200304,1,2,44,1,3550,28,95,21,13,254,3961,
20200304,1,2,27,1,21021,279,135,136,206,1667,23444,
20200304,1,2,08,0,46823,1222,1359,1160,6251,2836,59651,
20200304,1,2,08,1,2021,16,4,4,19,140,2204,
20200304,1,2,26,1,12525,103,98,0,18,1428,14172,
20200304,1,2,43,1,57278,1578,614,657,1280,3692,65099,
20200304,1,2,01,0,76528,2910,7041,6006,10599,1801,104885,
20200304,1,2,45,0,13847,884,2627,3578,5176,490,26602,
20200304,1,2,34,0,35068,1300,1843,643,1854,1680,42388,
20200304,1,2,11,0,79554,3322,3121,1986,3525,5244,96752,
20200304,1,2,02,0,53755,2980,1837,2191,4963,2203,67929,
20200304,1,2,18,0,42861,3910,2955,2912,7336,2573,62547,
20200304,1,2,28,0,49451,1564,982,710,766,3852,57325,
20200304,1,2,37,0,8291,551,333,1193,5450,806,16624,
20200304,1,2,46,0,1744,113,175,112,234,72,2450,
20200305,0,1,00,0,250472,13939,37214,33284,12475,4416,351800,
20200305,0,1,00,1,64857,2780,5690,4567,2495,9227,89616,
20200305,0,1,10,0,7709,217,485,321,91,265,9088,
20200305,0,1,10,1,700,32,53,41,13,130,969,
20200305,0,1,44,0,8353,594,1052,732,325,1438,12494,
20200305,0,1,44,1,484,11,16,2,0,89,602,
20200305,0,1,42,1,15612,682,948,577,1172,1132,20123,
20200305,0,1,08,0,9791,392,890,1129,1129,123,13454,
20200305,0,1,08,1,2068,32,19,92,24,54,2289,
20200305,0,1,26,1,3844,106,134,142,112,723,5061,
20200305,0,1,43,1,1294,32,43,33,19,37,1458,
20200305,0,1,01,0,3087,171,680,794,279,21,5032,
20200305,0,1,45,0,597,51,185,265,93,39,1230,
20200305,0,1,34,0,2835,110,222,233,64,40,3504,
20200305,0,1,11,0,11108,667,1401,891,231,496,14794,
20200305,0,1,02,0,6067,392,804,659,174,109,8205,
20200305,0,1,18,0,6394,817,2636,2017,844,162,12870,
20200305,0,1,28,0,6124,244,353,225,75,626,7647,
20200305,0,1,37,0,1705,174,601,1084,521,50,4135,
20200305,0,1,46,0,257,22,75,56,30,28,468,
20200305,0,2,00,0,1510880,75825,76762,64217,131845,77876,1937405,
20200305,0,2,00,1,473426,16078,11553,9242,17597,29892,557788,
20200305,0,2,10,0,60359,1758,1750,865,1385,3588,69705,
20200305,0,2,10,1,5784,138,46,110,307,434,6819,
20200305,0,2,44,0,67367,2965,1394,2077,6267,5373,85443,
20200305,0,2,44,1,3341,32,83,24,8,240,3728,
20200305,0,2,27,1,20110,292,141,230,232,1604,22609,
20200305,0,2,08,0,48864,1194,1321,1170,7615,2863,63027,
20200305,0,2,08,1,2065,9,5,5,7,123,2214,
20200305,0,2,26,1,13061,122,120,6,21,1444,14774,
20200305,0,2,43,1,11160,136,43,46,122,623,12130,
20200305,0,2,24,1,1760,58,117,0,0,42,1977,
20200305,0,2,01,0,81068,2975,7057,6444,10760,2008,110312,
20200305,0,2,45,0,14583,865,2801,3601,5164,472,27486,
20200305,0,2,34,0,38174,1364,1858,581,1762,1801,45540,
20200305,0,2,11,0,83955,3476,3187,2100,3119,5336,101173,
20200305,0,2,02,0,53600,2905,1863,2239,4919,2176,67702,
20200305,0,2,18,0,43845,4081,3001,3098,7345,2603,63973,
20200305,0,2,28,0,49671,1445,915,641,793,3895,57360,
20200305,0,2,37,0,8510,594,363,1328,4652,799,16246,
20200305,0,2,46,0,1772,98,154,113,187,69,2393,
20200305,1,1,00,0,254143,14748,37740,34368,13058,28267,382324,
20200305,1,1,00,1,68403,2854,5426,5201,2806,9513,94203,
20200305,1,1,10,0,7432,219,467,314,89,942,9463,
20200305,1,1,10,1,755,31,38,47,11,113,995,
20200305,1,1,44,0,9571,637,1102,792,335,1537,13974,
20200305,1,1,44,1,628,11,19,2,3,92,755,
20200305,1,1,42,1,14215,702,697,434,1004,979,18031,
20200305,1,1,08,0,8803,375,862,1332,878,1240,13490,
20200305,1,1,08,1,2473,27,15,88,28,65,2696,
20200305,1,1,26,1,4053,100,166,153,173,767,5412,
20200305,1,1,43,1,7148,269,351,368,146,1036,9318,
20200305,1,1,24,1,1961,70,118,0,0,55,2204,
20200305,1,1,01,0,3006,169,691,669,262,261,5058,
20200305,1,1,45,0,684,47,221,225,80,44,1301,
20200305,1,1,34,0,2597,112,262,191,67,287,3516,
20200305,1,1,11,0,11146,646,1505,897,293,1392,15879,
20200305,1,1,02,0,6117,386,802,714,208,631,8858,
20200305,1,1,18,0,6225,763,2435,1772,768,687,12650,
20200305,1,1,28,0,6979,277,368,288,105,1019,9036,
20200305,1,1,37,0,1665,173,602,801,490,250,3981,
20200305,1,1,46,0,317,17,87,63,24,35,543,
20200305,1,2,00,0,1503681,76514,79096,64596,136039,78846,1938772,
20200305,1,2,00,1,482099,16458,11909,10046,17568,30405,568485,
20200305,1,2,10,0,59516,1699,1796,813,1362,3543,68729,
20200305,1,2,10,1,5648,130,48,112,266,421,6625,
20200305,1,2,44,0,66175,2917,1352,2022,6222,5280,83968,
20200305,1,2,44,1,3781,35,99,27,12,282,4236,
20200305,1,2,27,1,21147,279,147,229,255,1610,23667,
20200305,1,2,08,0,47568,1217,1257,1097,6439,2813,60391,
20200305,1,2,08,1,2196,17,7,6,16,158,2400,
20200305,1,2,26,1,12434,99,102,5,15,1415,14070,
20200305,1,2,43,1,59109,1679,606,655,1371,3541,66961,
20200305,1,2,01,0,80949,2977,7070,6191,10533,2030,109750,
20200305,1,2,45,0,14501,865,2797,3591,5175,470,27399,
20200305,1,2,34,0,38192,1380,1831,609,1838,1747,45597,
20200305,1,2,11,0,81543,3442,3128,2067,3103,5256,98539,
20200305,1,2,02,0,53835,2867,1883,2281,4957,2210,68033,
20200305,1,2,18,0,43564,3965,3051,2971,7399,2607,63557,
