"집계일자","입출구구분코드","TCS하이패스구분코드","고속도로운영기관구분코드","영업형태구분코드","1종교통량","2종교통량","3종교통량","4종교통량","5종교통량","6종교통량","총교통량",
"2023-06-01","0","1","00","0","204551","10441","33163","28835","9201","2552","288743",
"2023-06-01","0","1","00","1","43183","1848","3741","3399","1425","6202","59798",
"2023-06-01","0","1","08","0","8332","316","985","1101","726","92","11552",
"2023-06-01","0","1","08","1","2634","0","108","46","107","26","2921",
"2023-06-01","0","1","26","1","5759","122","351","408","395","825","7860",
"2023-06-01","0","1","44","0","5942","546","936","705","214","1135","9478",
"2023-06-01","0","1","44","1","407","9","14","8","0","67","505",
"2023-06-01","0","1","42","1","17119","585","712","685","1254","1084","21439",
"2023-06-01","0","1","43","1","1123","14","39","31","23","20","1250",
"2023-06-01","0","1","10","0","6318","195","414","334","162","73","7496",
"2023-06-01","0","1","10","1","488","25","29","34","23","78","677",
"2023-06-01","0","1","18","0","4972","493","2094","1591","650","56","9856",
"2023-06-01","0","1","45","0","625","47","249","232","67","44","1264",
"2023-06-01","0","1","34","0","2229","79","210","364","37","26","2945",
"2023-06-01","0","1","28","0","4844","211","293","197","77","488","6110",
"2023-06-01","0","1","37","0","1564","126","570","1192","382","37","3871",
"2023-06-01","0","1","48","0","1328","97","476","376","72","217","2566",
"2023-06-01","0","1","01","0","3331","153","598","773","262","24","5141",
"2023-06-01","0","1","49","0","1290","88","232","224","35","29","1898",
"2023-06-01","0","1","46","0","352","11","25","70","25","40","523",
"2023-06-01","0","1","11","0","10011","606","1136","940","287","362","13342",
"2023-06-01","0","1","02","0","5986","332","684","598","140","81","7821",
"2023-06-01","0","2","00","0","2199632","90361","94920","84056","153605","104234","2726808",
"2023-06-01","0","2","00","1","558715","17887","14078","11437","18126","31554","651797",
"2023-06-01","0","2","27","1","38730","403","307","330","214","2690","42674",
"2023-06-01","0","2","08","0","68421","1486","1947","2014","8939","3788","86595",
"2023-06-01","0","2","08","1","2168","25","65","21","11","113","2403",
"2023-06-01","0","2","26","1","18026","199","196","15","98","2163","20697",
"2023-06-01","0","2","44","0","102402","3916","2560","2811","7410","7563","126662",
"2023-06-01","0","2","44","1","4811","51","134","23","7","359","5385",
"2023-06-01","0","2","43","1","16439","157","63","99","123","823","17704",
"2023-06-01","0","2","24","1","2358","73","159","0","0","64","2654",
"2023-06-01","0","2","10","0","85731","2163","2395","1430","1749","4053","97521",
"2023-06-01","0","2","10","1","7766","166","106","205","226","558","9027",
"2023-06-01","0","2","18","0","67848","6055","6873","6301","13097","3215","103389",
"2023-06-01","0","2","45","0","26672","1181","2765","4350","6002","788","41758",
"2023-06-01","0","2","34","0","57200","1710","2115","980","2328","2349","66682",
"2023-06-01","0","2","28","0","70233","1902","1289","992","846","4582","79844",
"2023-06-01","0","2","37","0","13131","767","673","1929","5050","1142","22692",
"2023-06-01","0","2","48","0","62075","3257","2424","2050","4617","3681","78104",
"2023-06-01","0","2","01","0","108698","3819","7505","8466","13439","2697","144624",
"2023-06-01","0","2","49","0","78417","4772","2985","3679","3433","4166","97452",
"2023-06-01","0","2","46","0","6468","382","396","625","1285","244","9400",
"2023-06-01","0","2","11","0","115697","4322","3875","3054","3936","6820","137704",
"2023-06-01","0","2","02","0","87526","3618","2829","4409","7376","3462","109220",
"2023-06-01","1","1","00","0","210767","10703","34090","29453","9439","25853","320305",
"2023-06-01","1","1","00","1","44616","1978","4360","4511","2204","6348","64017",
"2023-06-01","1","1","08","0","7196","311","848","1340","479","957","11131",
"2023-06-01","1","1","08","1","3139","58","76","65","95","32","3465",
"2023-06-01","1","1","26","1","7113","107","303","433","571","1109","9636",
"2023-06-01","1","1","44","0","7520","540","969","735","220","1281","11265",
"2023-06-01","1","1","44","1","527","8","11","1","0","92","639",
"2023-06-01","1","1","42","1","14491","533","658","570","1099","922","18273",
"2023-06-01","1","1","43","1","5052","135","311","294","93","659","6544",
"2023-06-01","1","1","24","1","2275","71","199","0","0","62","2607",
"2023-06-01","1","1","10","0","6060","207","441","317","175","755","7955",
"2023-06-01","1","1","10","1","492","25","18","33","15","82","665",
"2023-06-01","1","1","18","0","4715","432","1935","1458","512","485","9537",
"2023-06-01","1","1","45","0","802","54","239","208","77","49","1429",
"2023-06-01","1","1","34","0","2278","89","241","241","45","247","3141",
"2023-06-01","1","1","28","0","5176","193","323","224","62","807","6785",
