집계일자,입출구구분코드,TCS하이패스구분코드,고속도로운영기관구분코드,영업형태구분코드,1종교통량,2종교통량,3종교통량,4종교통량,5종교통량,6종교통량,총교통량,
20220901,0,1,00,0,251337,12916,35013,31394,9769,3220,343649,
20220901,0,1,00,1,53177,2320,4367,3477,1707,7099,72147,
20220901,0,1,01,0,4098,256,752,903,277,37,6323,
20220901,0,1,45,0,634,32,222,251,67,48,1254,
20220901,0,1,02,0,7422,368,672,545,161,91,9259,
20220901,0,1,18,0,6188,779,1943,1921,849,81,11761,
20220901,0,1,34,0,2925,95,299,287,53,41,3700,
20220901,0,1,28,0,6084,219,333,243,86,602,7567,
20220901,0,1,37,0,1788,169,541,1072,347,48,3965,
20220901,0,1,48,0,1559,122,579,410,154,229,3053,
20220901,0,1,49,0,1426,85,294,159,36,16,2016,
20220901,0,1,46,0,336,12,117,86,25,35,611,
20220901,0,1,08,0,9428,305,990,958,809,104,12594,
20220901,0,1,08,1,2850,0,88,25,10,30,3003,
20220901,0,1,10,0,7426,191,425,342,80,94,8558,
20220901,0,1,10,1,601,30,26,22,31,95,805,
20220901,0,1,11,0,12554,541,1562,1045,294,478,16474,
20220901,0,1,44,0,7691,559,1111,827,273,1350,11811,
20220901,0,1,44,1,442,12,15,8,0,66,543,
20220901,0,1,42,1,16698,582,770,513,674,1060,20297,
20220901,0,1,26,1,4126,113,269,285,135,853,5781,
20220901,0,1,43,1,1245,18,26,35,18,20,1362,
20220901,0,2,00,0,2205064,92597,91269,84580,145089,100950,2719549,
20220901,0,2,00,1,556203,18386,12995,11139,16871,30435,646029,
20220901,0,2,01,0,112741,3937,7575,8284,13017,2727,148281,
20220901,0,2,45,0,28446,1157,2754,4330,5316,813,42816,
20220901,0,2,02,0,87189,3718,2651,3728,6697,3334,107317,
20220901,0,2,18,0,64321,5252,6304,5383,12715,2826,96801,
20220901,0,2,34,0,59704,1770,2133,1265,1954,2394,69220,
20220901,0,2,28,0,72485,1848,1134,1077,1076,4686,82306,
20220901,0,2,37,0,12692,762,460,1716,4818,1117,21565,
20220901,0,2,48,0,63262,3216,2308,2058,4421,3467,78732,
20220901,0,2,49,0,82695,4343,2406,3282,2665,4146,99537,
20220901,0,2,46,0,6387,379,449,573,1188,236,9212,
20220901,0,2,08,0,68668,1491,1818,1798,7807,3641,85223,
20220901,0,2,08,1,2155,22,38,4,10,104,2333,
20220901,0,2,10,0,92392,2208,2351,1453,1531,4369,104304,
