집계일자,입출구구분코드,TCS하이패스구분코드,고속도로운영기관구분코드,영업형태구분코드,1종교통량,2종교통량,3종교통량,4종교통량,5종교통량,6종교통량,총교통량,
20221101,0,1,00,0,232167,11635,34288,31608,10077,2927,322702,
20221101,0,1,00,1,46807,2069,4165,3546,1536,6414,64537,
20221101,0,1,01,0,3308,252,653,821,265,98,5397,
20221101,0,1,45,0,555,47,234,265,63,45,1209,
20221101,0,1,02,0,7160,370,705,597,182,98,9112,
20221101,0,1,18,0,5425,687,2099,1881,758,100,10950,
20221101,0,1,34,0,2657,82,251,375,45,20,3430,
20221101,0,1,28,0,5380,210,247,244,77,541,6699,
20221101,0,1,37,0,1647,177,495,911,303,42,3575,
20221101,0,1,48,0,1365,120,496,404,78,172,2635,
20221101,0,1,49,0,1409,79,260,166,52,22,1988,
20221101,0,1,46,0,321,17,82,71,22,45,558,
20221101,0,1,08,0,9324,340,942,914,935,88,12543,
20221101,0,1,08,1,2799,0,117,27,173,25,3141,
20221101,0,1,10,0,6687,153,424,334,68,100,7766,
20221101,0,1,10,1,504,14,32,42,20,80,692,
20221101,0,1,11,0,10900,502,1362,967,268,433,14432,
20221101,0,1,44,0,7218,513,1111,785,304,1308,11239,
20221101,0,1,44,1,377,10,12,2,2,69,472,
20221101,0,1,42,1,15932,529,764,753,983,1088,20049,
20221101,0,1,26,1,4070,109,316,324,184,785,5788,
20221101,0,1,43,1,1131,19,23,28,29,10,1240,
20221101,0,2,00,0,2143735,89307,94740,83903,151010,101004,2663699,
20221101,0,2,00,1,539781,17450,13198,11587,17625,30404,630045,
20221101,0,2,01,0,107409,3728,8096,8235,13193,2792,143453,
20221101,0,2,45,0,26279,1163,2977,4239,5476,729,40863,
20221101,0,2,02,0,87395,3661,2754,3733,7085,3403,108031,
20221101,0,2,18,0,65151,5409,6707,5978,13350,3232,99827,
20221101,0,2,34,0,55015,1785,2190,969,2158,2272,64389,
20221101,0,2,28,0,68516,1813,1116,1025,863,4394,77727,
20221101,0,2,37,0,12966,728,460,1662,4560,1171,21547,
20221101,0,2,48,0,59547,3066,2315,2335,4428,3526,75217,
20221101,0,2,49,0,76624,4279,2713,3115,3155,4129,94015,
20221101,0,2,46,0,6281,361,407,585,1359,203,9196,
20221101,0,2,08,0,67552,1504,1918,1693,8700,3677,85044,
20221101,0,2,08,1,2278,16,44,5,31,113,2487,
20221101,0,2,10,0,81080,2129,2419,1448,1727,3956,92759,
20221101,0,2,10,1,7512,163,106,250,267,480,8778,
20221101,0,2,11,0,111728,4256,3609,3010,4233,6550,133386,
20221101,0,2,24,1,2543,67,141,0,0,72,2823,
20221101,0,2,44,0,97254,3815,2354,2924,7273,6929,120549,
20221101,0,2,44,1,4329,44,146,19,15,298,4851,
20221101,0,2,27,1,37077,356,277,259,339,2560,40868,
20221101,0,2,26,1,18166,158,162,14,13,1993,20506,
20221101,0,2,43,1,15203,149,87,57,156,832,16484,
20221101,1,1,00,0,242833,12032,35466,32478,10318,28243,361370,
20221101,1,1,00,1,48504,2086,4393,4136,1812,6582,67513,
20221101,1,1,01,0,3369,189,768,742,304,318,5690,
20221101,1,1,45,0,736,46,209,242,78,46,1357,
20221101,1,1,02,0,7294,338,805,646,224,789,10096,
20221101,1,1,18,0,5003,593,1921,1627,578,568,10290,
20221101,1,1,34,0,2601,73,231,311,34,290,3540,
20221101,1,1,28,0,5653,180,325,284,91,850,7383,
20221101,1,1,37,0,1645,163,518,690,301,249,3566,
20221101,1,1,48,0,1919,126,462,392,98,236,3233,
20221101,1,1,49,0,1603,101,310,212,75,289,2590,
20221101,1,1,46,0,385,17,89,69,15,52,627,
20221101,1,1,08,0,8125,352,822,1212,586,1111,12208,
20221101,1,1,08,1,3396,46,75,87,163,40,3807,
20221101,1,1,10,0,6594,166,455,300,65,791,8371,
20221101,1,1,10,1,525,16,21,52,8,103,725,
20221101,1,1,11,0,10764,497,1473,1047,373,1478,15632,
20221101,1,1,24,1,2777,86,167,0,0,80,3110,
20221101,1,1,44,0,8516,555,1057,782,275,1378,12563,
20221101,1,1,44,1,475,12,10,7,0,87,591,
20221101,1,1,42,1,15266,521,669,703,1194,985,19338,
20221101,1,1,26,1,4007,91,288,342,164,828,5720,
20221101,1,1,43,1,5670,170,317,368,122,760,7407,
20221101,1,2,00,0,2156025,91101,98952,84990,158471,102696,2692235,
20221101,1,2,00,1,555105,17767,13804,12155,17808,30939,647578,
20221101,1,2,01,0,105734,3577,7695,7415,12791,2706,139918,
20221101,1,2,45,0,26175,1157,2983,4214,5657,723,40909,
20221101,1,2,02,0,87396,3717,2754,3717,7274,3440,108298,
20221101,1,2,18,0,65388,5378,6678,5814,13244,3254,99756,
20221101,1,2,34,0,54741,1776,2169,1013,2160,2264,64123,
20221101,1,2,28,0,66990,1876,1155,1047,807,4457,76332,
20221101,1,2,37,0,12642,695,436,1538,4863,1150,21324,
20221101,1,2,48,0,59552,3066,2275,2273,4449,3483,75098,
20221101,1,2,49,0,75285,4259,2783,3261,3117,4140,92845,
20221101,1,2,46,0,6413,373,424,598,1322,216,9346,
20221101,1,2,08,0,65531,1517,1899,1543,7440,3672,81602,
20221101,1,2,08,1,2580,23,56,3,42,150,2854,
20221101,1,2,10,0,80798,2075,2385,1364,1613,3938,92173,
20221101,1,2,10,1,6841,152,97,244,147,447,7928,
20221101,1,2,11,0,110445,4171,3549,2949,4092,6405,131611,
20221101,1,2,44,0,95879,3810,2371,2922,7291,6840,119113,
20221101,1,2,44,1,5780,49,168,19,17,389,6422,
20221101,1,2,27,1,38180,370,301,293,467,2512,42123,
20221101,1,2,26,1,17929,147,162,8,40,1949,20235,
20221101,1,2,43,1,73736,1641,682,811,1425,3944,82239,
20221102,0,1,00,0,231387,11600,33957,30685,10248,3001,320878,
20221102,0,1,00,1,46965,2064,4095,3543,1589,6526,64782,
20221102,0,1,01,0,3267,234,692,867,308,89,5457,
20221102,0,1,45,0,541,45,217,262,49,39,1153,
20221102,0,1,02,0,6955,321,669,548,167,115,8775,
20221102,0,1,18,0,5126,664,2054,1674,716,88,10322,
20221102,0,1,34,0,2621,92,246,310,49,18,3336,
20221102,0,1,28,0,5404,170,265,255,74,505,6673,
20221102,0,1,37,0,1705,147,493,913,294,44,3596,
20221102,0,1,48,0,1318,111,477,329,56,199,2490,
20221102,0,1,49,0,1438,91,269,195,32,18,2043,
20221102,0,1,46,0,339,13,128,73,13,39,605,
20221102,0,1,08,0,9383,347,1034,914,835,91,12604,
20221102,0,1,08,1,2862,0,106,23,203,30,3224,
20221102,0,1,10,0,6566,195,389,344,63,93,7650,
20221102,0,1,10,1,485,24,26,49,41,84,709,
20221102,0,1,11,0,11375,511,1344,984,246,458,14918,
20221102,0,1,44,0,7377,553,1163,741,266,1302,11402,
20221102,0,1,44,1,372,9,18,0,1,75,475,
20221102,0,1,42,1,16543,527,721,594,904,1055,20344,
20221102,0,1,26,1,4123,89,315,338,173,840,5878,
20221102,0,1,43,1,1139,13,17,26,33,20,1248,
20221102,0,2,00,0,2163392,88098,94983,81717,150862,101751,2680803,
20221102,0,2,00,1,539117,17382,13105,11213,17866,30077,628760,
20221102,0,2,01,0,109270,3739,8058,8225,13507,2658,145457,
20221102,0,2,45,0,25994,1114,2900,4160,5645,755,40568,
20221102,0,2,02,0,87798,3717,2802,3641,7010,3610,108578,
20221102,0,2,18,0,65008,5506,6573,5612,13611,3121,99431,
20221102,0,2,34,0,55858,1791,2173,966,2308,2250,65346,
20221102,0,2,28,0,68110,1854,1152,1095,1073,4486,77770,
20221102,0,2,37,0,12905,690,490,1618,4635,1190,21528,
20221102,0,2,48,0,60280,3080,2337,1804,4198,3708,75407,
20221102,0,2,49,0,77501,4064,2822,3119,3042,4264,94812,
20221102,0,2,46,0,6543,399,450,589,1311,234,9526,
20221102,0,2,08,0,68556,1496,1918,1546,8765,3677,85958,
20221102,0,2,08,1,2397,15,66,5,53,113,2649,
20221102,0,2,10,0,81123,2132,2549,1489,1776,4038,93107,
20221102,0,2,10,1,7854,163,110,178,329,542,9176,
20221102,0,2,11,0,111629,4170,3582,3173,3991,6511,133056,
20221102,0,2,24,1,2500,68,190,0,0,67,2825,
